ID,GrossMonthlyIncome,CreditCardPayment,CarPayment,StudentLoanPayments,AppraisedValue,DownPayment,LoanAmount,MonthlyMortgagePayment,CreditScore,LVT,DTI,FEDTI,LVTCheck,DVTCheck1,MDTI,DVTCheck2,FInalCheck
15,8909,419,422,449,390002,81900.42,308101.58,2260.74,569,0.79,0.398556516,0.25375912,1,0,0.25375912,1,FALSE
16,9580,399,399,385,285104,37063.52,248040.48,1331.53,706,0.87,0.262477035,0.138990605,0,1,0.138990605,1,FALSE
17,4030,341,420,205,465246,55829.52,409416.48,3004.15,574,0.88,0.985148883,0.74544665,0,0,0.74544665,0,FALSE
18,7012,366,475,406,413464,70288.88,343175.12,2518.1,570,0.83,0.536950941,0.359112949,0,0,0.359112949,0,FALSE
19,3519,288,449,271,241549,67633.72,173915.28,1276.13,532,0.72,0.649084967,0.362639955,1,0,0.362639955,0,FALSE
20,4450,471,468,230,484448,92045.12,392402.88,1873.39,771,0.81,0.683683146,0.420986517,0,0,0.420986517,0,FALSE
21,2862,444,362,434,499329,79892.64,419436.36,2514.73,695,0.84,1.311925227,0.878661775,0,0,0.878661775,0,FALSE
22,4168,322,439,369,442517,123904.76,318612.24,2337.86,574,0.72,0.832020154,0.56090691,1,0,0.56090691,0,FALSE
23,5472,314,443,379,310350,27931.5,282418.5,2072.29,650,0.91,0.586310307,0.378707968,0,0,0.378707968,0,FALSE
24,6748,311,426,296,342326,54772.16,287553.84,2109.97,533,0.84,0.465763189,0.312680794,0,0,0.312680794,0,FALSE
25,3060,300,411,404,387148,19357.4,367790.6,1974.38,732,0.95,1.009601307,0.645222222,0,0,0.645222222,0,FALSE
26,8350,490,434,377,432555,38929.95,393625.05,2888.28,592,0.91,0.50171018,0.345901796,0,0,0.345901796,0,FALSE
27,2527,232,377,322,313293,56392.74,256900.26,1885.04,585,0.82,1.114380689,0.745959636,0,0,0.745959636,0,FALSE
28,5236,337,367,240,283298,70824.5,212473.5,1413.59,639,0.75,0.45026547,0.269975172,1,0,0.269975172,1,FALSE
29,7993,392,360,381,412215,20610.75,391604.25,2102.22,729,0.95,0.404756662,0.263007632,0,0,0.263007632,1,FALSE
30,6461,295,381,395,239093,57382.32,181710.68,1089.45,666,0.76,0.334383222,0.168619409,1,1,0.168619409,1,TRUE
31,6296,255,465,362,329293,69151.53,260141.47,1096.77,812,0.79,0.346056226,0.17420108,1,1,0.17420108,1,TRUE
32,7057,348,439,422,297387,14869.35,282517.65,2073.01,501,0.95,0.46507156,0.293752303,0,0,0.293752303,0,FALSE
33,6828,274,361,215,473699,123161.74,350537.26,1673.52,798,0.74,0.369584066,0.245096661,1,0,0.245096661,1,FALSE
34,3138,486,374,441,374944,89986.56,284957.44,1895.83,615,0.76,1.01874761,0.604152326,1,0,0.604152326,0,FALSE
35,9391,282,479,378,364140,43696.8,320443.2,1529.84,794,0.88,0.284191247,0.162904909,0,1,0.162904909,1,FALSE
36,2280,251,440,275,322941,35523.51,287417.49,1723.21,687,0.89,1.17947807,0.75579386,0,0,0.75579386,0,FALSE
37,2948,487,438,240,455446,45544.6,409901.4,2200.44,723,0.9,1.141601085,0.74641791,0,0,0.74641791,0,FALSE
38,8158,339,368,309,243152,46198.88,196953.12,1057.29,707,0.81,0.254141947,0.129601618,0,1,0.129601618,1,FALSE
39,6888,483,479,260,460899,87570.81,373328.19,2238.29,664,0.81,0.502364983,0.324954994,0,0,0.324954994,0,FALSE
40,5898,420,383,229,237732,54678.36,183053.64,1217.86,636,0.77,0.381461512,0.206486945,1,0,0.206486945,1,FALSE
41,6836,438,451,250,349490,97857.2,251632.8,1846.39,522,0.72,0.436715916,0.270098011,1,0,0.270098011,1,FALSE
42,2004,338,447,297,286237,71559.25,214677.75,1575.23,586,0.75,1.325963074,0.786042914,1,0,0.786042914,0,FALSE
43,9018,433,455,253,307261,15363.05,291897.95,1566.97,710,0.95,0.300284986,0.173760257,0,1,0.173760257,1,FALSE
44,2096,279,386,380,465616,116404,349212,1667.19,795,0.75,1.293983779,0.795415076,1,0,0.795415076,0,FALSE
45,9876,496,388,325,322165,38659.8,283505.2,1699.76,678,0.88,0.294528149,0.172110166,0,1,0.172110166,1,FALSE
46,4922,334,433,351,269467,48504.06,220962.94,1621.35,556,0.82,0.556552215,0.329408777,0,0,0.329408777,0,FALSE
47,4310,431,466,362,438470,65770.5,372699.5,2000.73,732,0.85,0.756317865,0.464206497,0,0,0.464206497,0,FALSE
48,4701,420,434,210,341408,30726.72,310681.28,1483.24,766,0.91,0.54185067,0.315515848,0,0,0.315515848,0,FALSE
49,7641,340,469,286,291836,26265.24,265570.76,1948.66,541,0.91,0.398332679,0.255026829,0,0,0.255026829,1,FALSE
50,3460,410,465,428,271147,67786.75,203360.25,1091.68,745,0.75,0.692104046,0.315514451,1,0,0.315514451,0,FALSE
51,2532,308,459,286,451273,67690.95,383582.05,2814.59,576,0.85,1.527484202,1.111607425,0,0,1.111607425,0,FALSE
52,2746,219,408,242,430821,86164.2,344656.8,2066.39,659,0.8,1.06896941,0.752509104,0,0,0.752509104,0,FALSE
53,8811,316,391,363,315497,44169.58,271327.42,1626.74,674,0.86,0.306065146,0.184626036,0,1,0.184626036,1,FALSE
54,2824,361,403,424,396207,95089.68,301117.32,1805.35,693,0.76,1.05996813,0.639288244,1,0,0.639288244,0,FALSE
55,6239,221,467,293,239831,64754.37,175076.63,1284.65,586,0.73,0.363143132,0.205906395,1,0,0.205906395,1,FALSE
56,9076,405,379,316,462570,46257,416313,2769.74,625,0.9,0.426370648,0.305171882,0,0,0.305171882,0,FALSE
57,7093,366,421,243,294303,61803.63,232499.37,1546.82,633,0.79,0.363290568,0.218076977,1,0,0.218076977,1,FALSE
58,5780,468,459,407,440180,70428.8,369751.2,2713.1,546,0.84,0.700190311,0.469394464,0,0,0.469394464,0,FALSE
59,7589,313,402,216,358911,46658.43,312252.57,2291.2,515,0.87,0.42458822,0.30191066,0,0,0.30191066,0,FALSE
60,9852,230,376,303,429903,77382.54,352520.46,2345.33,634,0.82,0.330321762,0.238056232,0,1,0.238056232,1,FALSE
61,2638,418,403,323,298247,17894.82,280352.18,1680.85,653,0.94,1.070830174,0.637168309,0,0,0.637168309,0,FALSE
62,3138,293,460,232,284459,17067.54,267391.46,1127.33,842,0.94,0.673145315,0.359251115,0,0,0.359251115,0,FALSE
63,7597,301,463,378,422126,42212.6,379913.4,1813.76,755,0.9,0.389069369,0.238746874,0,0,0.238746874,1,FALSE
64,7296,365,478,324,367543,102912.04,264630.96,1760.6,639,0.72,0.401260965,0.241310307,1,0,0.241310307,1,FALSE
65,9393,327,351,396,492711,137959.08,354751.92,2360.17,619,0.72,0.365609496,0.25126903,1,0,0.25126903,1,FALSE
66,3192,305,472,403,258932,23303.88,235628.12,1264.9,716,0.91,0.765946115,0.39627193,0,0,0.39627193,0,FALSE
67,7969,293,497,235,279250,80982.5,198267.5,1188.71,654,0.71,0.277790187,0.149166771,1,1,0.149166771,1,TRUE
68,9814,288,446,342,367849,44141.88,323707.12,1545.43,775,0.88,0.26711127,0.157471979,0,1,0.157471979,1,FALSE
69,4689,243,466,346,250049,32506.37,217542.63,1038.58,773,0.87,0.446487524,0.221492856,0,0,0.221492856,1,FALSE
70,7562,475,416,277,324348,64869.6,259478.4,1903.96,539,0.8,0.406236445,0.251779952,0,0,0.251779952,1,FALSE
71,8139,349,425,438,466044,69906.6,396137.4,1891.22,796,0.85,0.381277798,0.232365155,0,0,0.232365155,1,FALSE
72,8185,404,482,313,296998,41579.72,255418.28,1371.14,737,0.86,0.314006109,0.167518632,0,1,0.167518632,1,FALSE
73,2670,395,410,316,430636,120578.08,310057.92,2062.82,646,0.72,1.192441948,0.77259176,1,0,0.77259176,0,FALSE
74,2477,324,398,358,431552,25893.12,405658.88,2976.58,584,0.94,1.637698829,1.201687525,0,0,1.201687525,0,FALSE
75,8620,244,486,214,453685,36294.8,417390.2,3062.66,549,0.92,0.464809745,0.355296984,0,0,0.355296984,0,FALSE
76,8181,412,360,213,305392,58024.48,247367.52,1483.09,698,0.81,0.301685613,0.181284684,0,1,0.181284684,1,FALSE
77,3913,362,426,274,248170,37225.5,210944.5,1132.4,726,0.85,0.560797342,0.289394327,0,0,0.289394327,0,FALSE
78,7127,278,431,234,491642,132743.34,358898.66,2151.78,698,0.73,0.434233198,0.301919461,1,0,0.301919461,0,FALSE
79,2138,397,488,233,462541,87882.79,374658.21,2246.27,649,0.81,1.573559401,1.050640786,0,0,1.050640786,0,FALSE
80,8136,258,457,396,407840,77489.6,330350.4,1773.39,709,0.81,0.354521878,0.217968289,0,1,0.217968289,1,FALSE
81,7944,384,414,353,304287,69986.01,234300.99,1558.81,645,0.77,0.341114048,0.196224824,1,1,0.196224824,1,TRUE
82,9845,247,464,335,356831,67797.89,289033.11,1922.94,637,0.81,0.301568309,0.195321483,0,1,0.195321483,1,FALSE
83,7436,244,374,273,302894,72694.56,230199.44,1689.12,531,0.76,0.346976869,0.227154384,1,1,0.227154384,1,TRUE
84,2588,300,451,204,272185,54437,217748,1597.76,565,0.8,0.986383308,0.617372488,0,0,0.617372488,0,FALSE
85,8097,387,443,295,258761,38814.15,219946.85,1318.69,695,0.85,0.301801902,0.162861554,0,1,0.162861554,1,FALSE
86,7764,489,451,292,453895,63545.3,390349.7,2095.48,704,0.86,0.428578053,0.26989696,0,0,0.26989696,1,FALSE
87,5770,408,474,415,273532,13676.6,259855.4,1728.82,644,0.95,0.524405546,0.299622184,0,0,0.299622184,0,FALSE
88,3343,264,374,248,433090,34647.2,398442.8,2650.85,619,0.92,1.057986838,0.792955429,0,0,0.792955429,0,FALSE
89,8256,233,499,400,392365,102014.9,290350.1,2130.49,502,0.74,0.39516594,0.258053537,1,0,0.258053537,1,FALSE
90,5571,452,431,245,486339,121584.75,364754.25,1958.08,736,0.75,0.553954407,0.351477293,1,0,0.351477293,0,FALSE
91,6880,488,438,270,429352,38641.68,390710.32,2866.89,529,0.91,0.590536337,0.416699128,0,0,0.416699128,0,FALSE
92,4963,355,354,256,470956,47095.6,423860.4,2023.57,778,0.9,0.602170058,0.407731211,0,0,0.407731211,0,FALSE
93,9908,340,408,415,493646,128347.96,365298.04,1743.99,763,0.74,0.293398264,0.176018369,1,1,0.176018369,1,TRUE
94,8921,481,475,443,299451,59890.2,239560.8,1757.81,503,0.8,0.353862796,0.197041811,0,1,0.197041811,1,FALSE
95,7028,424,433,348,451762,76799.54,374962.46,2494.63,621,0.83,0.52641292,0.354955891,0,0,0.354955891,0,FALSE
96,9467,481,352,370,299205,44880.75,254324.25,1365.27,718,0.85,0.271286574,0.144213584,0,1,0.144213584,1,FALSE
97,3408,427,417,326,454991,104647.93,350343.07,2330.84,613,0.77,1.027241784,0.683931925,1,0,0.683931925,0,FALSE
98,9160,228,455,252,299081,74770.25,224310.75,1204.15,707,0.75,0.233531659,0.131457424,1,1,0.131457424,1,TRUE
99,5200,438,480,447,387588,34882.92,352705.08,2588.02,548,0.91,0.760196154,0.497696154,0,0,0.497696154,0,FALSE
100,4704,467,422,431,453290,45329,407961,2993.47,589,0.9,0.916979167,0.636366922,0,0,0.636366922,0,FALSE
101,3566,291,479,353,443941,53272.92,390668.08,2866.58,523,0.88,1.11878295,0.803864274,0,0,0.803864274,0,FALSE
102,8837,424,433,310,395914,51468.82,344445.18,2527.42,585,0.87,0.418062691,0.2860043,0,0,0.2860043,0,FALSE
103,2985,420,402,274,484150,101671.5,382478.5,2293.15,680,0.79,1.135393635,0.768224456,1,0,0.768224456,0,FALSE
104,8870,268,409,346,348057,34805.7,313251.3,1878.1,652,0.9,0.327068771,0.211736189,0,1,0.211736189,1,FALSE
105,7171,460,449,261,347111,34711.1,312399.9,1677.03,730,0.9,0.397019941,0.233862781,0,0,0.233862781,1,FALSE
106,8901,410,440,381,366209,43945.08,322263.92,2364.66,565,0.88,0.403961353,0.265662285,0,0,0.265662285,1,FALSE
107,4289,256,387,348,462369,134087.01,328281.99,1567.27,781,0.71,0.596472371,0.365416181,1,0,0.365416181,0,FALSE
108,9265,493,471,222,399977,95994.48,303982.52,2230.52,569,0.76,0.368755532,0.240746897,1,0,0.240746897,1,FALSE
109,9740,354,406,237,385752,42432.72,343319.28,1843.01,705,0.89,0.291582136,0.189220739,0,1,0.189220739,1,FALSE
110,9018,324,406,276,237087,68755.23,168331.77,1119.92,607,0.71,0.23574185,0.124187181,1,1,0.124187181,1,TRUE
111,5927,486,383,282,397229,35750.61,361478.39,1524.01,841,0.91,0.451326135,0.257130083,0,0,0.257130083,1,FALSE
112,7132,413,433,420,275140,41271,233869,986,837,0.85,0.315759955,0.13825014,0,1,0.13825014,1,FALSE
113,5986,337,456,410,485934,68030.76,417903.24,1995.13,781,0.86,0.534268293,0.333299365,0,0,0.333299365,0,FALSE
114,2478,330,442,271,372498,44699.76,327798.24,1382.01,843,0.88,0.978615819,0.557711864,0,0,0.557711864,0,FALSE
115,9399,251,368,281,363241,39956.51,323284.49,1735.46,745,0.89,0.280397915,0.184643047,0,1,0.184643047,1,FALSE
116,3141,228,385,391,302726,45408.9,257317.1,1228.47,783,0.85,0.710751353,0.391107927,0,0,0.391107927,0,FALSE
117,2801,415,447,267,484987,53348.57,431638.43,2871.7,620,0.89,1.428311317,1.025240985,0,0,1.025240985,0,FALSE
118,7145,348,379,359,248811,64690.86,184120.14,1103.89,682,0.74,0.306492652,0.154498251,1,1,0.154498251,1,TRUE
119,5382,360,462,392,393000,102180,290820,1226.11,809,0.74,0.453383501,0.227816797,1,0,0.227816797,1,FALSE
120,9986,227,386,438,266420,61276.6,205143.4,1505.27,536,0.77,0.25598538,0.150738033,1,1,0.150738033,1,TRUE
121,3086,230,405,262,458876,82597.68,376278.32,2019.94,714,0.82,0.94521711,0.654549579,0,0,0.654549579,0,FALSE
122,5889,208,402,278,408502,69445.34,339056.66,2487.88,585,0.83,0.573251825,0.422462218,0,0,0.422462218,0,FALSE
123,6724,439,374,214,382436,19121.8,363314.2,2665.87,580,0.95,0.549207317,0.396470851,0,0,0.396470851,0,FALSE
124,6455,381,471,380,349466,90861.16,258604.84,1234.62,781,0.74,0.382125484,0.191265686,1,0,0.191265686,1,FALSE
125,5866,225,396,357,387925,100860.5,287064.5,1909.85,638,0.74,0.492303103,0.325579611,1,0,0.325579611,0,FALSE
126,6116,311,372,235,384615,61538.4,323076.6,2149.44,619,0.84,0.501543492,0.351445389,0,0,0.351445389,0,FALSE
127,7274,388,446,298,468506,51535.66,416970.34,3059.58,553,0.89,0.576241408,0.420618642,0,0,0.420618642,0,FALSE
128,8937,485,371,240,433729,117106.83,316622.17,1334.89,831,0.73,0.272002909,0.149366678,1,1,0.149366678,1,TRUE
129,7654,237,473,373,278267,66784.08,211482.92,1135.29,727,0.76,0.289821009,0.148326365,1,1,0.148326365,1,TRUE
130,4237,388,473,333,408597,98063.28,310533.72,1861.81,671,0.76,0.721220203,0.43941704,1,0,0.43941704,0,FALSE
131,4478,441,488,362,412097,61814.55,350282.45,1476.8,832,0.85,0.618088432,0.329790085,0,0,0.329790085,0,FALSE
132,6391,290,380,355,352426,91630.76,260795.24,1099.52,807,0.74,0.332423721,0.172041934,1,1,0.172041934,1,TRUE
133,9084,465,483,441,451587,108380.88,343206.12,1638.52,767,0.76,0.333280493,0.180374284,1,1,0.180374284,1,TRUE
134,7085,361,391,278,321686,77204.64,244481.36,1030.74,844,0.76,0.290859562,0.145482004,1,1,0.145482004,1,TRUE
135,2429,364,396,363,372747,37274.7,335472.3,1414.36,847,0.9,1.044610951,0.582280774,0,0,0.582280774,0,FALSE
136,4687,273,368,429,352606,74047.26,278558.74,2043.97,502,0.79,0.664384468,0.43609345,1,0,0.43609345,0,FALSE
137,3011,402,444,223,251619,37742.85,213876.15,1021.08,797,0.85,0.694148124,0.339116573,0,0,0.339116573,0,FALSE
138,8012,303,415,296,345445,20726.7,324718.3,2160.36,640,0.94,0.396200699,0.269640539,0,0,0.269640539,1,FALSE
139,3482,419,494,351,315903,69498.66,246404.34,1808.03,582,0.78,0.882260195,0.519250431,1,0,0.519250431,0,FALSE
140,2440,282,387,228,306749,70552.27,236196.73,1267.96,745,0.77,0.887278689,0.519655738,1,0,0.519655738,0,FALSE
141,7428,333,450,325,483190,28991.4,454198.6,2723.15,696,0.94,0.515771405,0.366606085,0,0,0.366606085,0,FALSE
142,4338,356,381,267,366253,25637.71,340615.29,2499.31,589,0.93,0.807586445,0.576143384,0,0,0.576143384,0,FALSE
143,4359,385,453,212,300132,69030.36,231101.64,974.33,835,0.77,0.464402386,0.22352145,1,0,0.22352145,1,FALSE
144,6162,314,451,425,397060,39706,357354,2622.14,562,0.9,0.618653035,0.425533918,0,0,0.425533918,0,FALSE
145,5040,475,392,323,491660,137664.8,353995.2,2355.14,641,0.72,0.703400794,0.467289683,1,0,0.467289683,0,FALSE
146,2349,367,436,275,380825,41890.75,338934.25,2486.98,527,0.89,1.517658578,1.058739889,0,0,1.058739889,0,FALSE
147,8313,215,415,433,449788,44978.8,404809.2,1932.62,772,0.9,0.360353663,0.232481655,0,0,0.232481655,1,FALSE
148,5989,359,391,445,307494,79948.44,227545.56,1086.34,756,0.74,0.38092169,0.181389214,1,0,0.181389214,1,FALSE
149,9775,338,415,252,300999,66219.78,234779.22,1120.87,789,0.78,0.217480307,0.114667008,1,1,0.114667008,1,TRUE
150,7521,367,450,400,315187,18911.22,296275.78,1590.47,730,0.94,0.373284138,0.211470549,0,0,0.211470549,1,FALSE
151,4757,238,477,304,360654,28852.32,331801.68,2434.64,565,0.92,0.726012193,0.511801556,0,0,0.511801556,0,FALSE
152,3272,473,423,238,372878,33559.02,339318.98,1619.96,794,0.91,0.841674817,0.4950978,0,0,0.4950978,0,FALSE
153,5906,377,427,402,298505,80596.35,217908.65,918.71,830,0.73,0.359754487,0.155555367,1,1,0.155555367,1,TRUE
154,2251,351,487,256,466250,93250,373000,2481.58,625,0.8,1.588440693,1.102434474,0,0,1.102434474,0,FALSE
155,3978,465,351,339,366200,87888,278312,2042.15,514,0.76,0.803707893,0.513360985,1,0,0.513360985,0,FALSE
156,5968,323,467,267,394534,82852.14,311681.86,2287.01,502,0.79,0.560323391,0.383212131,1,0,0.383212131,0,FALSE
157,5368,431,383,395,249720,22474.8,227245.2,1511.87,616,0.91,0.50686848,0.281644933,0,0,0.281644933,0,FALSE
158,2180,413,421,339,357366,75046.86,282319.14,1878.28,649,0.79,1.399669725,0.86159633,1,0,0.86159633,0,FALSE
159,8346,477,407,311,473151,33120.57,440030.43,2100.77,790,0.93,0.394892164,0.251709801,0,0,0.251709801,1,FALSE
160,3715,438,420,268,274791,19235.37,255555.63,1875.18,540,0.93,0.807854643,0.504759085,0,0,0.504759085,0,FALSE
161,8857,435,362,328,457372,59458.36,397913.64,2647.33,648,0.87,0.425915095,0.298896918,0,0,0.298896918,0,FALSE
162,6154,335,415,442,454299,122660.73,331638.27,2206.4,638,0.73,0.552226194,0.358531037,1,0,0.358531037,0,FALSE
163,5635,350,426,437,426555,81045.45,345509.55,2535.23,572,0.81,0.665169476,0.44990772,0,0,0.44990772,0,FALSE
164,7348,474,396,404,258126,25812.6,232313.4,1545.59,633,0.9,0.383722101,0.21034159,0,0,0.21034159,1,FALSE
165,2758,306,432,411,332291,63135.29,269155.71,1284.99,755,0.81,0.882519942,0.465913706,0,0,0.465913706,0,FALSE
166,2793,278,390,313,414143,86970.03,327172.97,1961.57,665,0.79,1.053551736,0.702316506,1,0,0.702316506,0,FALSE
167,2690,243,445,438,289614,14480.7,275133.3,1830.47,622,0.95,1.09905948,0.680472119,0,0,0.680472119,0,FALSE
168,3985,342,388,418,433082,43308.2,389773.8,1860.84,772,0.9,0.755041405,0.466961104,0,0,0.466961104,0,FALSE
169,9257,413,456,402,359040,57446.4,301593.6,1271.53,814,0.84,0.274660257,0.137358756,0,1,0.137358756,1,FALSE
170,5229,289,398,350,303214,24257.12,278956.88,2046.89,598,0.92,0.589766686,0.391449608,0,0,0.391449608,0,FALSE
171,8275,300,390,446,346956,52043.4,294912.6,2163.96,543,0.85,0.398786707,0.26150574,0,0,0.26150574,1,FALSE
172,3988,220,360,215,252688,42956.96,209731.04,884.23,809,0.83,0.421070712,0.221722668,0,0,0.221722668,1,FALSE
173,4161,348,422,318,346333,90046.58,256286.42,1880.54,566,0.74,0.713419851,0.451944244,1,0,0.451944244,0,FALSE
174,9381,349,353,406,463171,69475.65,393695.35,2619.26,640,0.85,0.397320115,0.27920904,0,0,0.27920904,1,FALSE
175,9342,262,362,249,255349,61283.76,194065.24,1423.98,518,0.76,0.245876686,0.152427746,1,1,0.152427746,1,TRUE
176,8386,215,386,333,332049,23243.43,308805.57,2265.91,544,0.93,0.381577629,0.270201526,0,0,0.270201526,1,FALSE
177,9203,475,433,341,236893,42640.74,194252.26,1425.35,699,0.82,0.290595458,0.154878844,0,1,0.154878844,1,FALSE
178,4669,488,481,317,292928,26363.52,266564.48,1598.19,667,0.91,0.617731848,0.342298137,0,0,0.342298137,0,FALSE
179,7324,264,406,286,303051,75762.75,227288.25,1220.13,710,0.75,0.297123157,0.166593392,1,1,0.166593392,1,TRUE
180,9875,403,353,247,462698,55523.76,407174.24,2708.94,628,0.88,0.375892658,0.274323038,0,0,0.274323038,1,FALSE
181,8661,366,428,241,347876,80011.48,267864.52,1605.98,688,0.77,0.304927837,0.185426625,1,1,0.185426625,1,TRUE
182,5517,449,464,286,333717,63406.23,270310.77,1139.64,812,0.81,0.423897045,0.206568787,0,0,0.206568787,1,FALSE
183,2122,380,476,334,491976,49197.6,442778.4,3248.95,599,0.9,2.091870877,1.531079171,0,0,1.531079171,0,FALSE
184,5251,344,372,232,496118,143874.22,352243.78,1681.67,797,0.71,0.500794134,0.320257094,1,0,0.320257094,0,FALSE
185,7955,223,484,400,303839,63806.19,240032.81,1596.94,612,0.79,0.339904463,0.2007467,1,1,0.2007467,1,TRUE
186,5760,200,436,269,350454,52568.1,297885.9,2185.78,593,0.85,0.53659375,0.379475694,0,0,0.379475694,0,FALSE
187,6050,375,410,213,380961,102859.47,278101.53,2040.61,800,0.73,0.502249587,0.337290909,1,0,0.337290909,0,FALSE
188,3022,210,482,391,382541,99460.66,283080.34,1193.48,801,0.74,0.753302449,0.39493051,1,0,0.39493051,0,FALSE
189,2995,484,435,335,357027,92827.02,264199.98,1261.33,793,0.74,0.839843072,0.421145242,1,0,0.421145242,0,FALSE
190,3962,243,474,263,484659,106624.98,378034.02,2266.5,686,0.78,0.819409389,0.572059566,1,0,0.572059566,0,FALSE
191,2607,206,362,325,327745,58994.1,268750.9,1133.06,824,0.82,0.777161488,0.434622171,0,0,0.434622171,0,FALSE
192,4672,445,461,249,339351,74657.22,264693.78,1263.69,780,0.78,0.517699058,0.270481592,1,0,0.270481592,1,FALSE
193,4110,252,410,334,394634,82873.14,311760.86,2287.59,504,0.79,0.798927007,0.556591241,1,0,0.556591241,0,FALSE
194,3868,286,404,259,466298,41966.82,424331.18,1789,846,0.91,0.707859359,0.462512927,0,0,0.462512927,0,FALSE
195,7183,433,472,422,412631,103157.75,309473.25,2270.81,549,0.75,0.500878463,0.316136712,1,0,0.316136712,0,FALSE
196,2341,354,374,449,291610,49573.7,242036.3,1775.98,800,0.83,1.261418197,0.758641606,0,0,0.758641606,0,FALSE
197,6714,318,455,300,470192,56423.04,413768.96,3036.09,503,0.88,0.612018171,0.45220286,0,0,0.45220286,0,FALSE
198,4400,433,398,241,258352,46503.36,211848.64,1554.47,506,0.82,0.596925,0.353288636,0,0,0.353288636,0,FALSE
199,7834,287,462,292,442455,44245.5,398209.5,2649.3,605,0.9,0.471062037,0.338179729,0,0,0.338179729,0,FALSE
200,4956,303,460,280,230615,20755.35,209859.65,1126.57,730,0.91,0.437766344,0.227314366,0,0,0.227314366,1,FALSE
201,9832,383,494,386,244232,39077.12,205154.88,1230.01,697,0.84,0.253560822,0.125102726,0,1,0.125102726,1,FALSE
202,5533,281,377,267,241424,43456.32,197967.68,1452.62,509,0.82,0.429716248,0.262537502,0,0,0.262537502,1,FALSE
203,4574,496,467,403,275641,52371.79,223269.21,1338.61,669,0.81,0.591300831,0.292656318,0,0,0.292656318,0,FALSE
204,3520,345,479,307,407029,85476.09,321552.91,2359.44,577,0.79,0.991602273,0.670295455,1,0,0.670295455,0,FALSE
205,5256,364,392,306,431155,38803.95,392351.05,1654.17,836,0.91,0.516775114,0.31472032,0,0,0.31472032,0,FALSE
206,7622,279,352,318,264745,42359.2,222385.8,1631.79,562,0.84,0.338597481,0.214089478,0,1,0.214089478,1,FALSE
207,2995,486,400,419,392361,47083.32,345277.68,2533.53,571,0.88,1.281646077,0.845919866,0,0,0.845919866,0,FALSE
208,5638,453,468,202,459754,36780.32,422973.68,2814.05,648,0.92,0.698306137,0.499122029,0,0,0.499122029,0,FALSE
209,8647,272,499,392,390637,89846.51,300790.49,1268.14,824,0.77,0.281154158,0.146656644,1,1,0.146656644,1,TRUE
210,9694,288,448,214,496218,89319.24,406898.76,2184.32,748,0.82,0.323325769,0.225327006,0,1,0.225327006,1,FALSE
211,9779,315,352,314,289557,69493.68,220063.32,1614.75,572,0.76,0.265441252,0.165124246,1,1,0.165124246,1,TRUE
212,9472,326,361,348,498943,54883.73,444059.27,3258.35,588,0.89,0.453267525,0.3439981,0,0,0.3439981,0,FALSE
213,6070,367,405,342,418896,92157.12,326738.88,2173.8,642,0.78,0.541647446,0.358121911,1,0,0.358121911,0,FALSE
214,4283,203,431,240,390250,70245,320005,1717.86,741,0.82,0.605150595,0.401088022,0,0,0.401088022,0,FALSE
215,2333,425,457,403,483907,91942.33,391964.67,1871.3,757,0.81,1.35289327,0.8021003,0,0,0.8021003,0,FALSE
